ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603986.SH,20251121,189.0,190.57,182.51,182.51,199.1,-16.59,-8.3325,404416.09,7512795.79
603986.SH,20251124,183.75,184.75,176.0,179.18,182.51,-3.33,-1.8246,340499.49,6102558.863
603986.SH,20251125,185.0,191.6,184.19,190.62,179.18,11.44,6.3846,364021.47,6845489.696
603986.SH,20251126,187.01,198.88,186.8,196.5,190.62,5.88,3.0847,297685.3,5796501.768
603986.SH,20251127,198.88,208.0,198.88,200.86,196.5,4.36,2.2188,319731.75,6535638.163
603986.SH,20251128,199.0,204.35,196.66,203.0,200.86,2.14,1.0654,215652.25,4334514.87
603986.SH,20251201,204.04,215.45,201.2,212.82,203.0,9.82,4.8374,382670.03,8001361.362
603986.SH,20251202,211.78,216.79,208.1,210.5,212.82,-2.32,-1.0901,249243.69,5283394.789
603986.SH,20251203,210.42,210.99,206.19,207.6,210.5,-2.9,-1.3777,170708.13,3550298.44
603986.SH,20251204,206.0,212.98,201.99,210.41,207.6,2.81,1.3536,247007.26,5130378.877
603986.SH,20251205,210.92,211.0,205.5,206.81,210.41,-3.6,-1.7109,169817.36,3517459.255
603986.SH,20251208,208.62,216.97,207.53,213.89,206.81,7.08,3.4234,311307.02,6624931.659
603986.SH,20251209,212.0,215.3,209.3,210.95,213.89,-2.94,-1.3745,210585.96,4464451.196
603986.SH,20251210,209.09,210.2,203.5,208.84,210.95,-2.11,-1.0002,191810.21,3972447.948
603986.SH,20251211,211.88,213.0,207.5,207.81,208.84,-1.03,-0.4932,188246.03,3953045.79
603986.SH,20251212,206.0,214.44,204.01,209.89,207.81,2.08,1.0009,215033.84,4488267.448
603986.SH,20251215,205.02,208.68,203.5,204.16,209.89,-5.73,-2.73,175069.42,3589589.515
603986.SH,20251216,203.0,205.46,196.13,197.86,204.16,-6.3,-3.0858,204824.72,4078991.501
603986.SH,20251217,197.01,202.87,195.95,202.18,197.86,4.32,2.1834,190501.58,3802859.059
603986.SH,20251218,203.5,218.88,203.5,214.45,202.18,12.27,6.0688,418524.71,8887246.199
603986.SH,20251219,220.0,221.0,208.2,210.21,214.45,-4.24,-1.9772,332394.8,7034876.943
603986.SH,20251222,213.51,219.5,213.51,216.46,210.21,6.25,2.9732,253700.57,5485534.765
603986.SH,20251223,216.99,221.33,215.0,217.38,216.46,0.92,0.425,254297.87,5543292.842
603986.SH,20251224,220.0,225.0,216.2,224.1,217.38,6.72,3.0914,298409.62,6590470.884
603986.SH,20251225,223.0,228.83,217.33,222.0,224.1,-2.1,-0.9371,259400.49,5752598.105
603986.SH,20251226,221.0,230.0,220.0,226.97,222.0,4.97,2.2387,296631.27,6722806.56
603986.SH,20251229,225.71,234.44,225.0,227.93,226.97,0.96,0.423,296019.01,6772169.788
603986.SH,20251230,226.0,229.54,219.1,220.22,227.93,-7.71,-3.3826,271609.88,6063612.93
603986.SH,20251231,228.01,228.88,212.58,214.25,220.22,-5.97,-2.7109,354571.19,7741087.427
603986.SH,20260105,221.32,235.68,221.0,235.68,214.25,21.43,10.0023,499283.82,11560778.68
603986.SH,20260106,238.0,253.33,234.0,250.78,235.68,15.1,6.407,507535.5,12310629.498
603986.SH,20260107,270.0,273.77,256.78,262.5,250.78,11.72,4.6734,545161.79,14443385.679
603986.SH,20260108,259.0,267.0,256.91,258.75,262.5,-3.75,-1.4286,314109.13,8210508.185
603986.SH,20260109,254.55,254.55,244.32,250.05,258.75,-8.7,-3.3623,395238.31,9873211.263
603986.SH,20260112,255.22,264.04,254.0,261.83,250.05,11.78,4.7111,403813.07,10435793.484
603986.SH,20260113,266.0,275.0,257.49,263.5,261.83,1.67,0.6378,461517.76,12238674.369
603986.SH,20260114,270.0,271.0,249.05,253.0,263.5,-10.5,-3.9848,447321.34,11546200.174
603986.SH,20260115,249.61,257.55,248.2,254.96,253.0,1.96,0.7747,283898.37,7180430.118
603986.SH,20260116,260.03,280.46,257.5,280.46,254.96,25.5,10.0016,553362.13,15020119.557
603986.SH,20260119,280.6,292.0,278.88,288.45,280.46,7.99,2.8489,463229.95,13241198.626
603986.SH,20260120,282.9,297.1,282.88,292.0,288.45,3.55,1.2307,389782.32,11377429.957
603986.SH,20260121,295.0,314.8,293.01,307.65,292.0,15.65,5.3596,404653.97,12395709.223
603986.SH,20260122,320.0,320.02,296.7,301.47,307.65,-6.18,-2.0088,450616.97,13710967.282
603986.SH,20260123,296.0,310.68,295.0,297.25,301.47,-4.22,-1.3998,349379.69,10491781.699
603986.SH,20260126,300.0,308.0,290.5,292.6,297.25,-4.65,-1.5643,272674.78,8059039.738
603986.SH,20260127,290.0,312.42,286.67,307.26,292.6,14.66,5.0103,380043.68,11465752.144
603986.SH,20260128,313.88,328.58,313.88,323.68,307.26,16.42,5.344,377179.92,12160363.682
603986.SH,20260129,329.88,331.07,306.99,307.5,323.68,-16.18,-4.9988,334245.81,10593801.175
603986.SH,20260130,315.0,320.88,308.01,314.88,307.5,7.38,2.4,376199.44,11864831.688
603986.SH,20260202,300.8,306.09,283.39,283.39,314.88,-31.49,-10.0006,416288.29,12094639.949
603986.SH,20260203,294.01,296.6,285.2,292.57,283.39,9.18,3.2394,302213.54,8812712.425
603986.SH,20260204,285.99,289.5,279.0,282.33,292.57,-10.24,-3.5,270957.63,7646576.014
603986.SH,20260205,269.94,279.52,268.21,277.74,282.33,-4.59,-1.6258,229053.52,6300761.896
603986.SH,20260206,271.0,280.51,268.2,276.17,277.74,-1.57,-0.5653,186267.14,5136089.771
603986.SH,20260209,283.97,294.44,280.2,292.98,276.17,16.81,6.0868,283055.21,8148122.681
603986.SH,20260210,287.13,291.5,284.17,289.9,292.98,-3.08,-1.0513,215965.54,6225459.477
603986.SH,20260211,285.0,286.5,280.5,284.59,289.9,-5.31,-1.8317,173415.5,4922177.744
603986.SH,20260212,290.5,305.0,285.0,303.24,284.59,18.65,6.5533,300674.34,8842653.413
603986.SH,20260213,303.24,317.6,301.0,308.7,303.24,5.46,1.8006,299253.71,9335277.999
603986.SH,20260224,317.5,331.16,311.0,323.05,308.7,14.35,4.6485,302545.4,9709224.737
603986.SH,20260225,316.0,317.01,301.96,311.32,323.05,-11.73,-3.631,285728.01,8846026.25
603986.SH,20260226,316.0,316.0,306.05,309.4,311.32,-1.92,-0.6167,231052.85,7169784.208
603986.SH,20260227,303.5,306.0,296.69,300.0,309.4,-9.4,-3.0381,220968.92,6629753.921
603986.SH,20260302,290.87,299.98,290.55,293.15,300.0,-6.85,-2.2833,185132.28,5453801.345
603986.SH,20260303,295.0,296.1,272.59,272.89,293.15,-20.26,-6.9111,333293.65,9356849.949
